Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
org.apache.commons.io.output.NullOutputStream	void write(byte[])	4	3	1
org.apache.commons.io.output.TeeOutputStream	void write(byte[])	3	3	null
org.apache.commons.io.output.TeeOutputStream	void write(byte[],int,int)	2	2	null
org.apache.commons.io.output.TeeOutputStream	void write(int)	4	4	null
org.apache.commons.io.output.TeeOutputStream	void flush()	2	2	null
org.apache.commons.io.output.TeeOutputStream	void close()	5	5	null
org.apache.commons.io.output.XmlStreamWriter	void flush()	3	1	1
org.apache.commons.io.output.CountingOutputStream	int getCount()	5	2	1
org.apache.commons.io.output.CountingOutputStream	int resetCount()	2	2	null
org.apache.commons.io.output.ProxyWriter	java.io.Writer append(char)	4	3	1
org.apache.commons.io.output.ProxyWriter	java.io.Writer append(java.lang.CharSequence,int,int)	3	3	null
org.apache.commons.io.output.ProxyWriter	java.io.Writer append(java.lang.CharSequence)	4	4	null
org.apache.commons.io.output.ProxyWriter	void write(int)	2	2	null
org.apache.commons.io.output.ProxyWriter	void write(char[])	3	3	null
org.apache.commons.io.output.ProxyWriter	void write(char[],int,int)	3	3	null
org.apache.commons.io.output.ProxyWriter	void write(java.lang.String)	3	3	null
org.apache.commons.io.output.ProxyWriter	void write(java.lang.String,int,int)	3	3	null
org.apache.commons.io.output.ProxyWriter	void flush()	2	2	null
org.apache.commons.io.output.ProxyWriter	void close()	30	21	9
org.apache.commons.io.output.AppendableOutputStream	void write(int)	4	4	null
org.apache.commons.io.output.AppendableOutputStream	java.lang.Appendable getAppendable()	2	2	null
org.apache.commons.io.output.BrokenOutputStream	void write(int)	3	3	null
org.apache.commons.io.output.BrokenOutputStream	void close()	2	2	null
org.apache.commons.io.output.DeferredFileOutputStream	boolean isInMemory()	9	9	null
org.apache.commons.io.output.DeferredFileOutputStream	byte[] getData()	6	6	null
org.apache.commons.io.output.DeferredFileOutputStream	java.io.File getFile()	17	3	3
org.apache.commons.io.output.DeferredFileOutputStream	void close()	12	12	null
org.apache.commons.io.output.DeferredFileOutputStream	void writeTo(java.io.OutputStream)	4	2	2
org.apache.commons.io.output.ByteArrayOutputStream	void write(int)	4	3	1
org.apache.commons.io.output.ByteArrayOutputStream	int size()	44	44	null
org.apache.commons.io.output.ByteArrayOutputStream	void close()	8	5	1
org.apache.commons.io.output.ByteArrayOutputStream	void reset()	3	2	1
org.apache.commons.io.output.ByteArrayOutputStream	java.io.InputStream toInputStream()	4	2	2
org.apache.commons.io.output.ByteArrayOutputStream	byte[] toByteArray()	45	39	3
org.apache.commons.io.output.ByteArrayOutputStream	java.lang.String toString()	6	6	null
org.apache.commons.io.output.ByteArrayOutputStream	java.lang.String toString(java.lang.String)	2	2	null
org.apache.commons.io.output.ProxyOutputStream	void write(int)	7	6	1
org.apache.commons.io.output.ProxyOutputStream	void write(byte[])	4	4	null
org.apache.commons.io.output.ProxyOutputStream	void write(byte[],int,int)	3	3	null
org.apache.commons.io.output.ProxyOutputStream	void flush()	3	3	null
org.apache.commons.io.output.ProxyOutputStream	void close()	6	6	null
org.apache.commons.io.output.ClosedOutputStream	void write(int)	4	4	null
org.apache.commons.io.output.StringBuilderWriter	java.io.Writer append(char)	3	1	1
org.apache.commons.io.output.StringBuilderWriter	java.io.Writer append(java.lang.CharSequence)	7	5	2
org.apache.commons.io.output.StringBuilderWriter	java.io.Writer append(java.lang.CharSequence,int,int)	2	1	1
org.apache.commons.io.output.StringBuilderWriter	void close()	12	12	null
org.apache.commons.io.output.StringBuilderWriter	void write(java.lang.String)	2	1	1
org.apache.commons.io.output.StringBuilderWriter	void write(char[],int,int)	2	1	1
org.apache.commons.io.output.StringBuilderWriter	java.lang.String toString()	26	20	5
org.apache.commons.io.output.TaggedOutputStream	boolean isCauseOf(java.lang.Exception)	5	2	2
org.apache.commons.io.output.TaggedOutputStream	void throwIfCauseOf(java.lang.Exception)	5	2	2
org.apache.commons.io.output.NullWriter	java.io.Writer append(char)	2	1	1
org.apache.commons.io.TaggedIOException	boolean isTaggedWith(java.lang.Throwable,java.lang.Object)	2	1	1
org.apache.commons.io.filefilter.FileFilterUtils	java.io.File[] filter(org.apache.commons.io.filefilter.IOFileFilter,java.io.File[])	4	2	1
org.apache.commons.io.filefilter.FileFilterUtils	java.util.List filterList(org.apache.commons.io.filefilter.IOFileFilter,java.lang.Iterable)	4	2	1
org.apache.commons.io.filefilter.FileFilterUtils	java.util.Set filterSet(org.apache.commons.io.filefilter.IOFileFilter,java.lang.Iterable)	4	2	1
org.apache.commons.io.filefilter.FileFilterUtils	org.apache.commons.io.filefilter.IOFileFilter prefixFileFilter(java.lang.String)	2	2	null
org.apache.commons.io.filefilter.FileFilterUtils	org.apache.commons.io.filefilter.IOFileFilter prefixFileFilter(java.lang.String,org.apache.commons.io.IOCase)	2	1	1
org.apache.commons.io.filefilter.FileFilterUtils	org.apache.commons.io.filefilter.IOFileFilter suffixFileFilter(java.lang.String)	2	1	1
org.apache.commons.io.filefilter.FileFilterUtils	org.apache.commons.io.filefilter.IOFileFilter suffixFileFilter(java.lang.String,org.apache.commons.io.IOCase)	2	1	1
org.apache.commons.io.filefilter.FileFilterUtils	org.apache.commons.io.filefilter.IOFileFilter nameFileFilter(java.lang.String)	12	12	null
org.apache.commons.io.filefilter.FileFilterUtils	org.apache.commons.io.filefilter.IOFileFilter nameFileFilter(java.lang.String,org.apache.commons.io.IOCase)	2	2	null
